;Kontoadministrator;Informasjonskonsulent;Emneadministrator;Førstelinje;Superbrukar;Emneinnsyn
Sider - Oppdater;Slått på Sider - Oppdater;Deaktivert Sider - Oppdater;Slått på Sider - Oppdater;Deaktivert Sider - Oppdater;Slått på Sider - Oppdater;Slått på Sider - Oppdater
Sider - Opprett;Slått på Sider - Opprett;Deaktivert Sider - Opprett;Slått på Sider - Opprett;Deaktivert Sider - Opprett;Slått på Sider - Opprett;Slått på Sider - Opprett
Sider - Slett;Slått på Sider - Slett;Deaktivert Sider - Slett;Slått på Sider - Slett;Deaktivert Sider - Slett;Slått på Sider - Slett;Slått på Sider - Slett
Analyse - vis sider;Slått på Analyse - vis sider Kontoadministrator;Deaktivert Analyse - vis sider Informasjonskonsulent;Slått på Analyse - vis sider Emneadministrator;Deaktivert Analyse - vis sider Førstelinje;Slått på Analyse - vis sider Superbrukar;Deaktivert Analyse - vis sider Emneinnsyn
Analyse-hub;Slått på Analyse-hub Kontoadministrator;Deaktivert Analyse-hub Informasjonskonsulent;Deaktivert Analyse-hub Emneadministrator;Deaktivert Analyse-hub Førstelinje;Deaktivert Analyse-hub Superbrukar;Deaktivert Analyse-hub Emneinnsyn
Analytics for administratorar - sjå og eksporter data;Slått på Analytics for administratorar - sjå og eksporter data Kontoadministrator;Deaktivert Analytics for administratorar - sjå og eksporter data Informasjonskonsulent;Slått på Analytics for administratorar - sjå og eksporter data Emneadministrator;Deaktivert Analytics for administratorar - sjå og eksporter data Førstelinje;Slått på Analytics for administratorar - sjå og eksporter data Superbrukar;Deaktivert Analytics for administratorar - sjå og eksporter data Emneinnsyn
Blueprint-emne - legg til / endre / tilknytt / slett;Slått på Blueprint-emne - legg til / endre / tilknytt / slett Kontoadministrator;Deaktivert Blueprint-emne - legg til / endre / tilknytt / slett Informasjonskonsulent;Deaktivert Blueprint-emne - legg til / endre / tilknytt / slett Emneadministrator;Deaktivert Blueprint-emne - legg til / endre / tilknytt / slett Førstelinje;Slått på Blueprint-emne - legg til / endre / tilknytt / slett Superbrukar;Deaktivert Blueprint-emne - legg til / endre / tilknytt / slett Emneinnsyn
Brukarar - Designarar;Slått på Brukarar - Designarar Kontoadministrator;Deaktivert Brukarar - Designarar Informasjonskonsulent;Slått på Brukarar - Designarar Emneadministrator;Deaktivert Brukarar - Designarar Førstelinje;Slått på Brukarar - Designarar Superbrukar;Deaktivert Brukarar - Designarar Emneinnsyn
Designarar - fjern;Slått på Designarar - fjern;Deaktivert Designarar - fjern;Slått på Designarar - fjern;Deaktivert Designarar - fjern;Slått på Designarar - fjern;Deaktivert Designarar - fjern
Designarar - legg til;Slått på Designarar - legg til;Deaktivert Designarar - legg til;Slått på Designarar - legg til;Deaktivert Designarar - legg til;Slått på Designarar - legg til;Deaktivert Designarar - legg til
Brukarar - Faglærarar;Slått på Brukarar - Faglærarar Kontoadministrator;Deaktivert Brukarar - Faglærarar Informasjonskonsulent;Slått på Brukarar - Faglærarar Emneadministrator;Deaktivert Brukarar - Faglærarar Førstelinje;Slått på Brukarar - Faglærarar Superbrukar;Deaktivert Brukarar - Faglærarar Emneinnsyn
Faglærarar - fjern;Slått på Faglærarar - fjern;Deaktivert Faglærarar - fjern;Slått på Faglærarar - fjern;Deaktivert Faglærarar - fjern;Slått på Faglærarar - fjern;Deaktivert Faglærarar - fjern
Faglærarar - legg til;Slått på Faglærarar - legg til;Deaktivert Faglærarar - legg til;Slått på Faglærarar - legg til;Deaktivert Faglærarar - legg til;Slått på Faglærarar - legg til;Deaktivert Faglærarar - legg til
