section_id,course_id,name,status,start_date,end_date,account_id
UE_203_BIO171_1_2024_HØST_1,UE_203_BIO171_1_2024_HØST_1,BIO171-1 24H,active,,,
UE_203_BIO171_1_2025_HØST_1,UE_203_BIO171_1_2025_HØST_1,BIO171-1 25H,active,,,
UE_203_BIO172_1_2025_VÅR_1,UE_203_BIO172_1_2025_VÅR_1,BIO172-1 25V,active,,,
UE_203_BIO172_1_2026_VÅR_1,UE_203_BIO172_1_2026_VÅR_1,BIO172-1 26V,active,,,
UE_203_BIO173_1_2025_VÅR_1,UE_203_BIO173_1_2025_VÅR_1,BIO173-1 25V,active,,,
UE_203_BIO173_1_2026_VÅR_1,UE_203_BIO173_1_2026_VÅR_1,BIO173-1 26V,active,,,
UE_203_BIO174_1_2025_VÅR_1,UE_203_BIO174_1_2025_VÅR_1,BIO174-1 25V,active,,,
UE_203_BIO174_1_2026_VÅR_1,UE_203_BIO174_1_2026_VÅR_1,BIO174-1 26V,active,,,
UE_203_BIO175_1_2025_VÅR_1,UE_203_BIO175_1_2025_VÅR_1,BIO175-1 25V,active,,,
UE_203_BIO175_1_2026_VÅR_1,UE_203_BIO175_1_2026_VÅR_1,BIO175-1 26V,active,,,
UE_203_BIO200_1_2024_HØST_1,UE_203_BIO200_1_2024_HØST_1,BIO200-1 24H,active,,,
UE_203_BIO200_1_2025_HØST_1,UE_203_BIO200_1_2025_HØST_1,BIO200-1 25H,active,,,
UE_203_BIO201_1_2024_HØST_1,UE_203_BIO201_1_2024_HØST_1,BIO201-1 24H,active,,,
UE_203_BIO201_1_2025_HØST_1,UE_203_BIO201_1_2025_HØST_1,BIO201-1 25H,active,,,
UE_203_BIO202_1_2024_HØST_1,UE_203_BIO202_1_2024_HØST_1,BIO202-1 24H,active,,,
UE_203_BIO202_1_2025_HØST_1,UE_203_BIO202_1_2025_HØST_1,BIO202-1 25H,active,,,
UE_203_BIO203_1_2024_HØST_1,UE_203_BIO203_1_2024_HØST_1,BIO203-1 24H,active,,,
UE_203_BIO203_1_2025_HØST_1,UE_203_BIO203_1_2025_HØST_1,BIO203-1 25H,active,,,
UE_203_BIO204_1_2025_VÅR_1,UE_203_BIO204_1_2025_VÅR_1,BIO204-1 25V,active,,,
UE_203_BIO204_1_2026_VÅR_1,UE_203_BIO204_1_2026_VÅR_1,BIO204-1 26V,active,,,
UE_203_BIO205_1_2025_VÅR_1,UE_203_BIO205_1_2025_VÅR_1,BIO205-1 25V,active,,,
UE_203_BIO205_1_2026_VÅR_1,UE_203_BIO205_1_2026_VÅR_1,BIO205-1 26V,active,,,
UE_203_BIO206_1_2025_VÅR_1,UE_203_BIO206_1_2025_VÅR_1,BIO206-1 25V,active,,,
UE_203_BIO206_1_2026_VÅR_1,UE_203_BIO206_1_2026_VÅR_1,BIO206-1 26V,active,,,
UE_203_BIO207_1_2025_VÅR_1,UE_203_BIO207_1_2025_VÅR_1,BIO207-1 25V,active,,,
UE_203_BIO207_1_2026_VÅR_1,UE_203_BIO207_1_2026_VÅR_1,BIO207-1 26V,active,,,
UE_203_BIO303_1_2024_HØST_1,UE_203_BIO303_1_2024_HØST_1,BIO303-1 24H,active,,,
UE_203_BIO303_1_2025_HØST_1,UE_203_BIO303_1_2025_HØST_1,BIO303-1 25H,active,,,
UE_203_BIO304_1_2024_HØST_1,UE_203_BIO304_1_2024_HØST_1,BIO304-1 24H,active,,,
UE_203_BIO304_1_2025_HØST_1,UE_203_BIO304_1_2025_HØST_1,BIO304-1 25H,active,,,
UE_203_BIO305_1_2024_HØST_1,UE_203_BIO305_1_2024_HØST_1,BIO305-1 24H,active,,,
UE_203_BIO305_1_2025_HØST_1,UE_203_BIO305_1_2025_HØST_1,BIO305-1 25H,active,,,
UE_203_BIO306_1_2025_VÅR_1,UE_203_BIO306_1_2025_VÅR_1,BIO306-1 25V,active,,,
UE_203_BIO306_1_2026_VÅR_1,UE_203_BIO306_1_2026_VÅR_1,BIO306-1 26V,active,,,
UE_203_BIO350_1_2024_HØST_1,UE_203_BIO350_1_2024_HØST_1,BIO350-1 24H,active,,,
UE_203_BIO350_1_2025_HØST_1,UE_203_BIO350_1_2025_HØST_1,BIO350-1 25H,active,,,
UE_203_BIO501_1_2024_HØST_1,UE_203_BIO501_1_2024_HØST_1,BIO501-1 24H,active,,,
UE_203_BIO501_1_2025_HØST_1,UE_203_BIO501_1_2025_HØST_1,BIO501-1 25H,active,,,
UE_203_BIO502_1_2025_VÅR_1,UE_203_BIO502_1_2025_VÅR_1,BIO502-1 25V,active,,,
UE_203_BIO502_1_2026_VÅR_1,UE_203_BIO502_1_2026_VÅR_1,BIO502-1 26V,active,,,
UE_203_BIO503_1_2025_VÅR_1,UE_203_BIO503_1_2025_VÅR_1,BIO503-1 25V,active,,,
UE_203_BIO503_1_2026_VÅR_1,UE_203_BIO503_1_2026_VÅR_1,BIO503-1 26V,active,,,
UE_203_BIO504_1_2025_VÅR_1,UE_203_BIO504_1_2025_VÅR_1,BIO504-1 25V,active,,,
UE_203_BIO504_1_2026_VÅR_1,UE_203_BIO504_1_2026_VÅR_1,BIO504-1 26V,active,,,
UE_203_BIO599_1_2025_HØST_1,UE_203_BIO599_1_2025_HØST_1,BIO599-1 25H,active,,,
UE_203_BIO599_1_2025_VÅR_1,UE_203_BIO599_1_2025_VÅR_1,BIO599-1 25V,active,,,
UE_203_BIO599_1_2026_VÅR_1,UE_203_BIO599_1_2026_VÅR_1,BIO599-1 26V,active,,,
UE_203_BI424_1_2024_HØST_1,UE_203_BI424_1_2024_HØST_1,BI424-1 24H,active,,,
UE_203_BI424_1_2025_HØST_1,UE_203_BI424_1_2025_HØST_1,BI424-1 25H,active,,,
UE_203_BI4-301_1_2024_HØST_1,UE_203_BI4-301_1_2024_HØST_1,BI4-301-1 24H,active,,,
UE_203_BI4-301_1_2025_HØST_1,UE_203_BI4-301_1_2025_HØST_1,BI4-301-1 25H,active,,,
UE_203_BI434_1_2025_VÅR_1,UE_203_BI434_1_2025_VÅR_1,BI434-1 25V,active,,,
UE_203_BI434_1_2026_VÅR_1,UE_203_BI434_1_2026_VÅR_1,BI434-1 26V,active,,,
UE_203_BI435_1_2025_VÅR_1,UE_203_BI435_1_2025_VÅR_1,BI435-1 25V,active,,,
UE_203_BI435_1_2026_VÅR_1,UE_203_BI435_1_2026_VÅR_1,BI435-1 26V,active,,,
UE_203_BI436_1_2025_VÅR_1,UE_203_BI436_1_2025_VÅR_1,BI436-1 25V,active,,,
UE_203_BI436_1_2026_VÅR_1,UE_203_BI436_1_2026_VÅR_1,BI436-1 26V,active,,,
UE_203_BI445_3_2025_VÅR_1,UE_203_BI445_3_2025_VÅR_1,BI445-3 25V,active,,,
UE_203_BI445_3_2026_VÅR_1,UE_203_BI445_3_2026_VÅR_1,BI445-3 26V,active,,,
UE_203_BND801_1_2024_HØST_1,UE_203_BND801_1_2024_HØST_1,BND801-1 24H,active,,,
UE_203_BNFD301_1_2024_HØST_1,UE_203_BNFD301_1_2024_HØST_1,BNFD301-1 24H,active,,,
UE_203_BO6-2001_1_2025_HØST_1,UE_203_BO6-2001_1_2025_HØST_1,BO6-2001-1 25H,active,,,
UE_203_BO6-2001_1_2025_VÅR_1,UE_203_BO6-2001_1_2025_VÅR_1,BO6-2001-1 25V,active,,,
UE_203_BO6-2009_1_2025_VÅR_1,UE_203_BO6-2009_1_2025_VÅR_1,BO6-2009-1 25V,active,,,
UE_203_BO6-2009_1_2026_VÅR_1,UE_203_BO6-2009_1_2026_VÅR_1,BO6-2009-1 26V,active,,,
UE_203_BO6-2011_1_2025_HØST_1,UE_203_BO6-2011_1_2025_HØST_1,BO6-2011-1 25H,active,,,
UE_203_BO6-2011_1_2025_VÅR_1,UE_203_BO6-2011_1_2025_VÅR_1,BO6-2011-1 25V,active,,,
UE_203_BRL103_1_2024_HØST_1,UE_203_BRL103_1_2024_HØST_1,BRL103-1 24H,active,,,
UE_203_BRL104_1_2024_HØST_1,UE_203_BRL104_1_2024_HØST_1,BRL104-1 24H,active,,,
UE_203_BRL105_1_2025_VÅR_1,UE_203_BRL105_1_2025_VÅR_1,BRL105-1 25V,active,,,
UE_203_BRL106_1_2025_VÅR_1,UE_203_BRL106_1_2025_VÅR_1,BRL106-1 25V,active,,,
UE_203_BRL107_1_2024_VÅR_1,UE_203_BRL107_1_2024_VÅR_1,BRL107-1 24V,active,,,
UE_203_BRL107_1_2025_VÅR_1,UE_203_BRL107_1_2025_VÅR_1,BRL107-1 25V,active,,,
UE_203_BRL107_1_2026_VÅR_1,UE_203_BRL107_1_2026_VÅR_1,BRL107-1 26V,active,,,
UE_203_BRL108_1_2024_HØST_1,UE_203_BRL108_1_2024_HØST_1,BRL108-1 24H,active,,,
UE_203_BRL108_1_2025_HØST_1,UE_203_BRL108_1_2025_HØST_1,BRL108-1 25H,active,,,
UE_203_BRL111_1_2025_VÅR_1,UE_203_BRL111_1_2025_VÅR_1,BRL111-1 25V,active,,,
UE_203_BRL112_1_2024_HØST_1,UE_203_BRL112_1_2024_HØST_1,BRL112-1 24H,active,,,
