course_id,short_name,long_name,account_id,term_id,status,start_date,end_date,blueprint_course_id
UE_203_ØAL118_1_2025_HØST_1,ØAL118-1 25H,ØAL118-1 25H Operasjonell strategi og utførelse,ST_0203201400,2025_HØST,active,,,
UE_203_ØAL119_1_2025_VÅR_1,ØAL119-1 25V,ØAL119-1 25V Supply Chain Management - innkjøp og distribusjon,ST_0203201400,2025_VÅR,active,,,
UE_203_ØAL119_1_2026_VÅR_1,ØAL119-1 26V,ØAL119-1 26V Supply Chain Management - innkjøp og distribusjon,ST_0203201400,2026_VÅR,active,,,
UE_203_ØAL120_1_2025_VÅR_1,ØAL120-1 25V,ØAL120-1 25V Kunnskapsstyring i forsyningskjedeledelse,ST_0203201400,2025_VÅR,active,,,
UE_203_ØAL120_1_2026_VÅR_1,ØAL120-1 26V,ØAL120-1 26V Kunnskapsstyring i forsyningskjedeledelse,ST_0203201400,2026_VÅR,active,,,
UE_203_ØAL121_1_2024_HØST_1,ØAL121-1 24H,ØAL121-1 24H Nye teknologier i operasjons- og forsyningskjedeledelse,ST_0203201400,2024_HØST,active,,,
UE_203_ØAL121_1_2025_HØST_1,ØAL121-1 25H,ØAL121-1 25H Nye teknologier i operasjons- og forsyningskjedeledelse,ST_0203201400,2025_HØST,active,,,
UE_203_ØAL122_1_2025_VÅR_1,ØAL122-1 25V,ØAL122-1 25V Eco Global Operational Management ,ST_0203201400,2025_VÅR,active,,,
UE_203_ØAL122_1_2026_VÅR_1,ØAL122-1 26V,ØAL122-1 26V Eco Global Operational Management ,ST_0203201400,2026_VÅR,active,,,
UE_203_ØAL150_1_2025_VÅR_1,ØAL150-1 25V,ØAL150-1 25V Internship Logistikk,ST_0203201400,2025_VÅR,active,,,
UE_203_ØAL150_1_2026_VÅR_1,ØAL150-1 26V,ØAL150-1 26V Internship Logistikk,ST_0203201400,2026_VÅR,active,,,
UE_203_ØAM111_1_2024_HØST_1,ØAM111-1 24H,ØAM111-1 24H Markedsføring II,ST_0203201400,2024_HØST,active,,,
UE_203_ØAO016_1_2025_VÅR_1,ØAO016-1 25V,ØAO016-1 25V Strategi og virksomhetsutvikling,ST_0203201400,2025_VÅR,active,,,
UE_203_ØAO016_1_2026_VÅR_1,ØAO016-1 26V,ØAO016-1 26V Strategi og virksomhetsutvikling,ST_0203201400,2026_VÅR,active,,,
UE_203_ØAO019_1_2025_VÅR_1,ØAO019-1 25V,ØAO019-1 25V Organisasjon og ledelse 2,ST_0203201400,2025_VÅR,active,,,
UE_203_ØAO019_1_2026_VÅR_1,ØAO019-1 26V,ØAO019-1 26V Organisasjon og ledelse 2,ST_0203201400,2026_VÅR,active,,,
UE_203_ØBR111_1_2024_HØST_1,ØBR111-1 24H,ØBR111-1 24H Skatte- og avgiftsrett 1,ST_0203201400,2024_HØST,active,,,
UE_203_ØBR111_1_2025_HØST_1,ØBR111-1 25H,ØBR111-1 25H Skatte- og avgiftsrett 1,ST_0203201400,2025_HØST,active,,,
UE_203_ØBR112_1_2025_VÅR_1,ØBR112-1 25V,ØBR112-1 25V Skatte- og avgiftsrett 2,ST_0203201400,2025_VÅR,active,,,
UE_203_ØBR112_1_2026_VÅR_1,ØBR112-1 26V,ØBR112-1 26V Skatte- og avgiftsrett 2,ST_0203201400,2026_VÅR,active,,,
UE_203_ØBR114_1_2024_HØST_1,ØBR114-1 24H,ØBR114-1 24H Regnskap fordypning,ST_0203201400,2024_HØST,active,,,
UE_203_ØBR114_1_2025_HØST_1,ØBR114-1 25H,ØBR114-1 25H Regnskap fordypning,ST_0203201400,2025_HØST,active,,,
UE_203_ØBR116_1_2024_HØST_1,ØBR116-1 24H,ØBR116-1 24H Regnskapsføring med innblikk i bærekraftsrapportering,ST_0203201400,2024_HØST,active,,,
UE_203_ØBR116_1_2025_HØST_1,ØBR116-1 25H,ØBR116-1 25H Regnskapsføring med innblikk i bærekraftsrapportering,ST_0203201400,2025_HØST,active,,,
UE_203_ØBR118_1_2024_HØST_1,ØBR118-1 24H,ØBR118-1 24H Virksomhetssammenslutninger,ST_0203201400,2024_HØST,active,,,
UE_203_ØBR118_1_2025_HØST_1,ØBR118-1 25H,ØBR118-1 25H Virksomhetssammenslutninger,ST_0203201400,2025_HØST,active,,,
UE_203_ØKB1113_1_2025_VÅR_1,ØKB1113-1 25V,ØKB1113-1 25V Organisasjonspsykologi og ledelse,ST_0203201400,2025_VÅR,active,,,
UE_203_ØKB1113_1_2026_VÅR_1,ØKB1113-1 26V,ØKB1113-1 26V Organisasjonspsykologi og ledelse,ST_0203201400,2026_VÅR,active,,,
UE_203_ØKB2006_1_2024_HØST_1,ØKB2006-1 24H,ØKB2006-1 24H Skatte- og avgiftsrett 1,ST_0203201400,2024_HØST,active,,,
